"";"COD_CLIENTE";"CAT_EDAD";"ESTADO_CIVIL";"NIVEL_ESTUDIOS";"RANGO_INGRESOS";"SEXO";"probabilidad";"potencial"
"1";"CLI0043828980";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE";0,197511856002439;0
"2";"CLI0062632001";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";"HOMBRE";0,116137603437104;0
"3";"CLI0044539972";"2_MINUS30";"SOLTERO";"PRIMARIA";"[1000-2000>";"MUJER";0,201485036730274;0
"4";"CLI0074041049";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE";0,12869578116953;0
"5";"CLI0008226026";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER";0,13011454106374;0
"6";"CLI0041998439";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER";0,301787286134449;0
"7";"CLI0041534199";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,427170231874375;0
"8";"CLI0016745258";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";"MUJER";0,562422108430558;0
"9";"CLI0043147232";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,30558017556658;0
"10";"CLI0073478861";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE";0,143239269744301;0
"11";"CLI0010689679";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,427170231874375;0
"12";"CLI0000501031";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER";0,687583697827681;0
"13";"CLI0008762051";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"HOMBRE";0,0796134226998306;0
"14";"CLI0016016713";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,427170231874375;0
"15";"CLI0042389535";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE";0,197511856002439;0
"16";"CLI0040787002";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER";0,835880185181465;1
"17";"CLI0076027512";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER";0,186077881951427;0
"18";"CLI0009803320";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER";0,132202749453623;0
"19";"CLI0080435647";"3_30_40";"SOLTERO";"SECUNDARIA";"<600";"MUJER";0,693402455354038;0
"20";"CLI0071414233";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[1000-2000>";"MUJER";0,223699103947978;0
"21";"CLI0023267290";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"<600";"HOMBRE";0,0805092670667194;0
"22";"CLI0009483962";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,305662549850826;0
"23";"CLI0009303424";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE";0,078516554738811;0
"24";"CLI0042319915";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"MUJER";0,30488867681578;0
"25";"CLI0040633784";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,743675320525419;0
"26";"CLI0045491278";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE";0,200432496060631;0
"27";"CLI0045077599";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,127700796197785;0
"28";"CLI0022241430";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER";0,13011454106374;0
"29";"CLI0022416356";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"HOMBRE";0,0796134226998306;0
"30";"CLI0002727813";"4_PLUS40";"SOLTERO";"PRIMARIA";"<600";"HOMBRE";0,128739313139032;0
"31";"CLI0046300308";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,30558017556658;0
"32";"CLI0008850205";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE";0,127744040952476;0
"33";"CLI0006999171";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER";0,305662549850826;0
"34";"R_10028710645";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER";0,432343014466685;0
"35";"CLI0001089071";"4_PLUS40";"CASADO";"SECUNDARIA";"<600";"HOMBRE";0,365032808703345;0
