"COD_CLIENTE";"CAT_EDAD";"ESTADO_CIVIL";"NIVEL_ESTUDIOS";"RANGO_INGRESOS";"SEXO"
"CLI0043828980";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0062632001";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";"HOMBRE"
"CLI0044539972";"2_MINUS30";"SOLTERO";"PRIMARIA";"[1000-2000>";"MUJER"
"CLI0074041049";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"CLI0008226026";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0041998439";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0041534199";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0016745258";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";"MUJER"
"CLI0043147232";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0073478861";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"HOMBRE"
"CLI0010689679";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0000501031";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0008762051";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"HOMBRE"
"CLI0016016713";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0042389535";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0040787002";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0076027512";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER"
"CLI0009803320";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"MUJER"
"CLI0080435647";"3_30_40";"SOLTERO";"SECUNDARIA";"<600";"MUJER"
"CLI0071414233";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[1000-2000>";"MUJER"
"CLI0023267290";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"<600";"HOMBRE"
"CLI0009483962";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0009303424";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0042319915";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"MUJER"
"CLI0040633784";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0045491278";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0045077599";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0022241430";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0022416356";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";"HOMBRE"
"CLI0002727813";"4_PLUS40";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"CLI0046300308";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0008850205";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0006999171";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"R_10028710645";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"MUJER"
"CLI0001089071";"4_PLUS40";"CASADO";"SECUNDARIA";"<600";"HOMBRE"
"CLI0041297734";"3_30_40";"CASADO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0009718748";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0045777130";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0047967946";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"CLI0023854005";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";"HOMBRE"
"CLI0044996366";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0001297750";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0073654929";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0042461881";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0048123043";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";"MUJER"
"CLI0044660303";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
"CLI0005278958";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";"MUJER"
"CLI0009420401";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";"HOMBRE"
"CLI0042938377";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"R_10419422253";"2_MINUS30";"CASADO";"SECUNDARIA";"[600-1000>";"HOMBRE"
"CLI0010394512";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"HOMBRE"
"CLI0021461256";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0000020828";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";"HOMBRE"
"CLI0044249362";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";"HOMBRE"
"CLI0045750207";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";"HOMBRE"
"CLI0025693563";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";"MUJER"
"CLI0045717730";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";"MUJER"
